Charminar             | 0 | 10 | 15 | 20 | 30 | 40 | 50 | 60 | 70 | 80 | 90 | 
Golconda Fort         | 10 | 0 | 5 | 10 | 20 | 30 | 40 | 50 | 60 | 70 | 80 |
Nehru Zoological Park | 20 | 10 | 5 | 0 | 5 | 10 | 15 | 20 | 25 | 30 | 35 | 
Ramoji Film City      | 30 | 20 | 10 | 5 | 0 | 5 | 10 | 15 | 20 | 25 | 30 |
Hussain Sagar Lake    | 40 | 30 | 15 | 10 | 5 | 0 | 5 | 10 | 15 | 20 | 25 | 
Birla Mandir          | 50 | 40 | 20 | 15 | 10 | 5 | 0 | 5 | 10 | 15 | 20 |
Chowmahalla Palace    | 60 | 50 | 25 | 20 | 15 | 10 | 5 | 0 | 5 | 10 | 15 |
Kukatpally            | 70 | 60 | 30 | 25 | 20 | 15 | 10 | 5 | 0 | 5 | 10 | 
Bachupally            | 80 | 70 | 35 | 30 | 25 | 20 | 15 | 10 | 5 | 0 | 5 |
Madhapur              | 90 | 80 | 40 | 35 | 30 | 25 | 20 | 15 | 10 | 5 | 0 |
